AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101761318	alpha/beta-Hydrolases superfamily protein;SUPPRESSOR OF AVRBST-ELICITED RESISTANCE 1 (SOBER1)	
LOC101761319	FUNCTIONS IN: molecular_function unknown;Protein of unknown function (DUF760)	
LOC101761321	O-methyltransferase 1 (OMT1);O-methyltransferase family protein	OsCOMT28;OsCOMTL1, OsCOMT27, COMT27;OsCOMTL2, OsCOMT3, COMT3;OsCOMTL5, OsCOMT4, COMT4;OsCOMTL6, OsCOMT5, COMT5, OsCOMTL4, COMTL4
LOC101761324	Protein of unknown function (DUF1685)	
LOC101761325	iron regulated transporter 3 (IRT3);zinc transporter 4 precursor (ZIP4)	OsZIP3;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP7;OsZIP8, OsZIP1, ZIP1, OsZIP13, ZIP13
LOC101761328	RING/U-box protein with C6HC-type zinc finger;RING/U-box superfamily protein;zinc finger (C3HC4-type RING finger) family protein	OsRING439;OsRING440;OsRING467;OsRING475;OsRING476
LOC101761330	Ribosomal L28e protein family	
LOC101761334	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP67, OsGELP67a, OsGELP67b;OsGELP95
LOC101761336	methyl-CPG-binding domain 1 (MBD1);methyl-CPG-binding domain 4 (MBD4);methyl-CPG-binding domain protein 02 (MBD02)	OsMBD701;OsMBD706;OsMBD711
LOC101761337	Calcium-binding EF-hand family protein;EF hand calcium-binding protein family	OsCaM3, OsCam3, CaM3;OsCML10;OsCML15;OsCML16;OsCML18
LOC101761338	stromal ascorbate peroxidase (SAPX)	OsAPx6, OsAPx06, OSAPX6, APx6;OsAPx7, OsAPx07, OSAPX7, APx7, sAPX
LOC101761340	geranyl diphosphate synthase 1 (GPS1);solanesyl diphosphate synthase 1 (SPS1);solanesyl diphosphate synthase 2 (SPS2)	OsSPS1;OsSPS2;OsSPS3;OsSPS4
LOC101761342	OSBP(oxysterol binding protein)-related protein 1C (ORP1C);OSBP(oxysterol binding protein)-related protein 1D (ORP1D)	OsORP1C
LOC101761343	unknown protein	
LOC101761344	APK1A;protein kinase 1B (PK1B)	OsRLCK107;OsRLCK118;OsRLCK176
LOC101761346	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase	
LOC101761347	carotenoid cleavage dioxygenase 1 (CCD1);nine-cis-epoxycarotenoid dioxygenase 4 (NCED4);nine-cis-epoxycarotenoid dioxygenase 5 (NCED5);nine-cis-epoxycarotenoid dioxygenase 6 (NCED6);nine-cis-epoxycarotenoid dioxygenase 9 (NCED9)	OsCCD1, OsCCD4a, CCD4a;OSNCED1, OsNCED-1, OsNCED3, OsNced3, NCED3, OsNCED9, NCED9;OSNCED2, OsNCED2, OsNCED5, NCED5;OSNCED3, OsNCED-3, OsNCED3, OsNCED3a, NCED3a, OsNCED4, NCED4, OsNECD2, OsNCED2b, NCED2b
LOC101761352	cellulose-synthase like D2 (CSLD2);cellulose synthase-like D3 (CSLD3);cellulose synthase like D4 (CSLD4);cellulose synthase-like D5 (CSLD5)	csld1, OsCSLD1, OsCslD1;CSLD4, OsCSLD4, OsCD1, CD1, DNL3, OsDNL3, NRL1, OsNRL1, SPO1, OsSPO1, SPO1/OsCSLD4;OsCslD2, OsCSLD2;OsCSLD3;OsCSLD5
LOC101761353	pleckstrin homology (PH) domain-containing protein	
LOC101761354	beta expansin 6 (EXPB6);expansin B1 (EXPB1);expansin B2 (EXPB2);expansin B4 (EXPB4);expansin B5 (EXPB5)	OsEXPB2, OsaEXPb1.9, EXPb1.9;OsEXPB3, osaEXPb1.10, EXPb1.10;OsEXPB4, OsaEXPb1.7, EXPb1.7;OsEXPB6, osaEXPb1.8, EXPb1.8;OsEXPB7, osaEXPb1.12
LOC101761356	TBP-associated factor 4B (TAF4B);TBP-associated factor 4 (TAF4)	
LOC101761357	Glycosyl hydrolase family 38 protein;golgi alpha-mannosidase II (GMII)	
LOC101761359	K+ uptake permease 6 (KUP6);Potassium transporter family protein	OsHAK24;OsHAK25
LOC101761360	MATE efflux family protein	
LOC101761361	Protein of unknown function (DUF1645)	
LOC101761363	Chaperone DnaJ-domain superfamily protein	OsDjC10, DjC10, Bph33(t), Bph33;OsDjC23;OsDjC28;OsDjC53, DjC53
LOC101761364	DEA(D/H)-box RNA helicase family protein;eif4a-2 (EIF4A-2);eukaryotic translation initiation factor 4A1 (EIF4A1)	
LOC101761365	NAC domain containing protein 100 (NAC100);NAC domain containing protein 1 (NAC1);NAC domain containing protein 58 (NAC058);NAC domain containing protein 80 (NAC080);NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	NAC11, ONAC011, ONAC11, OMTN4, OsY37, OsY37N, OsY37I, OsNAC1, DLN172, OsDLN172, OsNAC092, NAC092, OsNAC92, NAC92;NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;OMTN6, ONAC104, DLN206, OsDLN206;ONAC043, ONAC43, DLN44, OsDLN44;ONAC060, ONAC60, OMTN3, OsNAC60, DLN265, OsDLN265
LOC101761366	T-complex protein 1 alpha subunit (TCP-1);TCP-1/cpn60 chaperonin family protein	
LOC101761367	plant-specific TFIIB-related protein (PBRP)	OsDLN78;OsTFIIB
LOC101761369	sulfate transporter 3;sulfate transporter 91 (AST91)	OsSultr1;1, OsSul1;1, Sul1;1, OsSultr1;1(a), OsSultr1;1(b);OsSultr3;2, OsSul3;2;OsSultr3;6, OsSul3;6, OsSULTR3;6
LOC101761370	sterol methyltransferase 1 (SMT1);sterol methyltransferase 2 (SMT2);sterol methyltransferase 3 (SMT3)	Ossmt1-1, OsSMT1-1;OsSMT1-2;OsSMT1-3;Ossmt2-1
LOC101761372	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	RLK
LOC101761375	NUCLEAR FUSION DEFECTIVE 5 (NFD5);Tetratricopeptide repeat (TPR)-like superfamily protein	
LOC101761379	LATERAL ORGAN BOUNDARIES (LOB);LOB domain-containing protein 25 (LBD25)	CRL1L3, CRLL3, OsCrll3, OsIG1, OsLBD1-9, LBD1-9, OsAS2, AS2, OsLBD11, LBD11;ra2, Osra2, OsCrll4, CRL1L4, CRLL4, OsRA2, OsLBD13, LBD13
LOC101761380	leucine-rich repeat/extensin 1 (LRX1);leucine-rich repeat/extensin 2 (LRX2);Leucine-rich repeat (LRR) family protein	OsLRX3;OsPEX2
LOC101761381	UDP-glucosyl transferase 73B5 (UGT73B5);UDP-glycosyltransferase 73B4 (UGT73B4);UDP-Glycosyltransferase superfamily protein	OsDUGT1, DUGT1;OsUGT703A1;RGlu6, OsRGLU6
LOC101761382	MATE efflux family protein	
LOC101761383	Protein phosphatase 2C family protein	OsPP2C03, PP2C03, OsPP2C3, PP2C3, OsPP7, OsABI2;OsPP2C33, OsPP51;OsPP53;OsPP99
LOC101761385	homeobox-1 (HB-1);Homeodomain-like transcriptional regulator	OsDLN17
LOC101761386	DNAse I-like superfamily protein;inositol polyphosphate 5-phosphatase I (IP5PI);MYO-INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 1 (AT5PTASE1)	
LOC101761387	embryo defective 1417 (emb1417);Pentatricopeptide repeat (PPR) superfamily protein	
LOC101761388	EMBRYO DEFECTIVE 2780 (EMB2780);INCURVATA2 (ICU2)	OSPOLA, Ospolalpha, OsDNAP, DNAP;OsPoldelta1, OspolD1
LOC101761389	U-box domain-containing protein kinase family protein	OsPUB47, PUB47, OsRLCK207, OsUSP29, USP29, OsPUB47, PUB47;OsPUB48, PUB48, OsRLCK69, OsUSP10, USP10, OsPUB48, PUB48;OsPUB49, PUB49, OsRLCK307, OsUSP38, USP38, OsPUB49, PUB49;OsRLCK39, OsUSP4, USP4;OsRLCK68, OsUSP9, USP9
LOC101761390	BTB and TAZ domain protein 1 (BT1);BTB and TAZ domain protein 2 (BT2)	OsBTBZ1;OsBTBZ4;OsBT, OsBTBZ2, BTBZ2
LOC101761391	RAD23;RADIATION SENSITIVE23A (RAD23A);RADIATION SENSITIVE23B (RAD23B)	OsRAD23;Rad23;RAD23
LOC101761392	O-fucosyltransferase family protein	
LOC101761394	Glycosyltransferase family 61 protein	OsXAT2
LOC101761395	CCMH	
LOC101761396	Arabidopsis thaliana gibberellin 2-oxidase 1 (ATGA2OX1);gibberellin 2-oxidase 3 (ATGA2OX3);gibberellin 2-oxidase 4 (GA2OX4);gibberellin 2-oxidase 6 (GA2OX6);gibberellin 2-oxidase (GA2OX2)	GA2OX4, OsGA2ox4, ga2ox 4, OsGA2ox-4, OsSBI;OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1;OsGA2ox3, ga2ox 3, OsGA2ox-3, GA2ox3, GA2ox-3, GA2ox4;OsGA2ox7;OsGA2ox8
LOC101761398	Ribosomal RNA processing Brix domain protein	
LOC101761399	Leucine-rich repeat (LRR) family protein	
LOC101761400	DNA binding;nucleic acid binding;zinc ion binding	OsC3H67, C3H67
LOC101761401	B-box zinc finger family protein;light-regulated zinc finger protein 1 (LZF1);salt tolerance homolog2 (STH2);SALT TOLERANCE (STO)	OsBBX13, BBX13, OsRIP1, RIP1;OsBBX22, BBX22;OsBBX6
LOC101761408	Ethylene-responsive element binding factor 14 (ERF14);ethylene-responsive element binding factor 15 (ERF15);Integrase-type DNA-binding superfamily protein	OsERF#083, OsERF083, OsERF83, AP2/EREBP#163, AP2/EREBP163;OsERF#088, OsERF088, OsERF88, AP2/EREBP#024, AP2/EREBP24, OsAP23;OsERF#123, OsERF123, AP2/EREBP#066, AP2/EREBP66;OsERF#128, OsERF128, AP2/EREBP#034, AP2/EREBP34
LOC101761409	BTB-POZ and MATH domain 1 (BPM1);BTB-POZ and MATH domain 2 (BPM2)	OsMB15, MB15, OsMBTB24, MBTB24;OsMB16, MB16, OsMBTB21, MBTB21;OsMB18, MB18, OsMBTB15, MBTB15;OsMB19, MB19, OsMBTB20, MBTB20;OsMBTB23
LOC101761412	Ubiquitin-like superfamily protein	OsCIP73, OsCIP73_like
LOC101761413	ethylene-responsive element binding protein (EBP);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 1 (HRE1);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2)	OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#071, OsERF071, OsERF71, AP2/EREBP#124, AP2/EREBP124, OsERF15
LOC101761414	REDUCED EPIDERMAL FLUORESCENCE 4 (REF4);REF4-related 1 (RFR1)	OsMed5_1, Med5_1;OsMed5_2, Med5_2;OsMED5_3, MED5_3
LOC101761416	AWPM-19-like family protein	AWPM-19, PM19, OsPM1, OsPM-1, OsPM19L1, PM19L1, OsAWPM-19, OsPM19;OsPM19L2
LOC101761417	Prolyl oligopeptidase family protein	OsPOP15, POP15;OsPOP19, POP19;OsPOP1, POP1;OsPOP9, POP9
LOC101761418	YUCCA 3 (YUC3);YUCCA5 (YUC5);YUCCA 7 (YUC7);YUCCA 8 (YUC8);YUCCA 9 (YUC9)	OsYUCCA1, OsYUC1, YUC1;OsYUCCA2, OsYUC2, YUC2;OsYUCCA3, OsYUC3, YUC3;OsYUCCA6, OsYUC6, YUC6;OsYUCCA7, OsYUC7, OsYUC5, YUC5, YUC7
LOC101761419	germin-like protein 4 (GLP4);germin-like protein 5 (GLP5);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP5-2, OsGLP5-1, GLP5-1, OsCDP5.2, CDP5.2;OsGLP9-1, OsCDP9.4, CDP9.4;OsGLP9-2, OsCDP9.5, CDP9.5;OsGLP9-3, OsCDP9.6, CDP9.6
LOC101761421	ATKCO1;Ca2+ activated outward rectifying K+ channel 2 (KCO2);Ca2+ activated outward rectifying K+ channel 5 (KCO5);Ca2+ activated outward rectifying K+ channel 6 (KCO6);TWO PORE K CHANNEL (KCO1)	OsTPK1;TPKa, OsTPKa, OsTpka, TPK1a, OsTPK1a;TPKb, OsTPKb
LOC101761423	Uncharacterised protein family (UPF0041)	
LOC101761426	Tetratricopeptide repeat (TPR)-like superfamily protein	
LOC101761427	AUXIN INDUCIBLE 2-11 (ATAUX2-11);AUXIN RESISTANT 3 (AXR3);indole-3-acetic acid inducible 14 (IAA14);SHORT HYPOCOTYL 2 (SHY2)	OsIAA11;OsIAA13, OsIAA1, OsiIAA1;OsIAA17, OsIAA17q5, IAA17q5;OsIAA26;OsIAA3, IAA3, OsIAA31, OsIAA30, IAA30
LOC101761428	FUNCTIONS IN: molecular_function unknown;FUNCTIONS IN: signal transducer activity	
LOC101761429	homologue of trithorax (ATX1);trithorax-like protein 2 (ATX2)	OsSET1, SET1, OsSDG721;OsSET2, SDG705, OsSDG705;OsSET33, OsSDG723, SDG723, OsTrx1, Trx1, OsTrx1/SDG723, DLN219, OsDLN219;OsSET37, SDG732, SDG751, OsSDG751;OsSET43, SDG717, OsSDG717
LOC101761430	eukaryotic initiation factor 3 gamma subunit family protein	
LOC101761432	Protein of unknown function (DUF707)	
LOC101761433	ARA12;subtilase 1.3 (SBT1.3);Subtilase family protein;subtilisin-like serine protease 2 (SLP2)	OsSub28;OsSub30;OsSub31;OsSub45;OsSub53
LOC101761434	CONTAINS InterPro DOMAIN/s: Domain of unknown function XS (InterPro:IPR005380)	
LOC101761435	tonoplast monosaccharide transporter2;tonoplast monosaccharide transporter2 (TMT2)	OsTMT1, OsAZT4, AZT4, OsTMT4, TMT4;OsTMT2, AZT1, OsAZT1, OsTMT1, TMT1
LOC101761437	RWP-RK domain-containing protein	OsRKD4;OsRKD5;OsRKD6
LOC101761441	Endoplasmic reticulum vesicle transporter protein	
LOC101761445	ATPase, F0/V0 complex, subunit C protein;AVA-P1;AVA-P2;vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4 (AVA-P4);vacuolar-type H(+)-ATPase C3 (VHA-C3)	OsVHA-c
LOC101761446	Peroxidase superfamily protein;RARE COLD INDUCIBLE GENE 3 (RCI3)	prx104;prx138;prx34, OsPrx34;prx4
LOC101761447	RNA-binding (RRM/RBD/RNP motifs) family protein	
LOC101761448	Aluminium induced protein with YGL and LRDR motifs	OsTSJT1;SI2
LOC101761451	Major facilitator superfamily protein;polyol/monosaccharide transporter 1 (PMT1);polyol/monosaccharide transporter 2 (PMT2);polyol/monosaccharide transporter 5 (PMT5)	OsPLT11;OsPLT12;OsPLT13;OsPLT15;OsPLT7
LOC101761452	CONTAINS InterPro DOMAIN/s: Domain of unknown function DUF1726 (InterPro:IPR013562), Domain  of unknown function DUF699, exodeoxyribonuclease V alpha chain (InterPro:IPR007807);FUNCTIONS IN: molecular_function unknown	
LOC101761454	SKU5  similar 11 (sks11);SKU5  similar 12 (sks12);SKU5  similar 13 (sks13);SKU5  similar 14 (sks14)	OsAAO6;OsPTD1
LOC101761460	mitochondrial editing factor  21 (MEF21);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsSTA208, OsDGK6
LOC101761461	acyl carrier protein 1 (ACP1);acyl carrier protein 2 (ACP2);acyl carrier protein 3 (ACP3);acyl carrier protein 4 (ACP4);acyl carrier protein 5 (ACP5)	
LOC101761462	glycerol-3-phosphate acyltransferase 1 (GPAT1);glycerol-3-phosphate acyltransferase 2 (GPAT2);glycerol-3-phosphate acyltransferase 3 (GPAT3);glycerol-3-phosphate acyltransferase 7 (GPAT7)	GPAT;OsGPAT3
LOC101761464	homolog of yeast ADA2 2A (ADA2A);homolog of yeast ADA2 2B (ADA2B)	OsHXA701, HXA701, ADA2
LOC101761466	Protein kinase superfamily protein	
LOC101761468	FUNCTIONS IN: transferase activity, transferring glycosyl groups;Protein of unknown function (DUF604)	OsSTA247
LOC101761469	membrane-associated progesterone binding protein 2 (MAPR2);membrane-associated progesterone binding protein 3 (MAPR3);membrane steroid binding protein 1 (MSBP1)	OsCYB5-10;OsCYB5-11, Oscb5, cb5;OsMSBP1, OsCYB5-12, CYB5-12;OsMSBP2, OsMSBP1, OsCYB5-13, CYB5-13
LOC101761470	Arabidopsis NAC domain containing protein 39 (ANAC039);CUP SHAPED COTYLEDON3 (CUC3);NAC domain containing protein 38 (NAC038);NAC domain containing protein 74 (NAC074)	ONAC008, ONAC8, NAC8;ONAC032, ONAC32, ONAC056, ONAC56;ONAC055, ONAC55, CRPG64, OsCRPG64;ONAC072, ONAC72, DLN228, OsDLN228;ONAC120
LOC101761472	starch synthase 2 (SS2);starch synthase 4 (SS4);SUPPRESSOR OF SALICYLIC ACID INSENSITIVITY 1 (SSI1);UDP-Glycosyltransferase superfamily protein	alk, SSII-3, OsSSIIa, OsSSII-3, SSIIa, SSS2A, OsSSIIaChr6, SS2a;GBSS2, OsGBSSII, OsGBSS2;OsSSIIb, OsSSII-2, SSII-2, SS2, OsSSSIIb, SS2b;OsSSIIc, SSII-1, SSII1;OsSSI, SSS 1, SSS1, SS1, OsSS1, SSSI, OsSSSI, OsSS1q6, SS1q6
LOC101761473	acyl-CoA oxidase 1 (ACX1);acyl-CoA oxidase 2 (ACX2);acyl-CoA oxidase 5 (ACX5)	OsACX1;OsACX2;OsACX3, OsACOX3, ACOX3
LOC101761474	nodulin MtN21 /EamA-like transporter family protein	OsUMAMIT15
LOC101761476	kinesin like protein for actin based chloroplast movement 1 (KAC1);kinesin like protein for actin based chloroplast movement 2 (KAC2)	
LOC101761477	EARLY-RESPONSIVE TO DEHYDRATION 9 (ERD9);glutathione S-transferase TAU 11 (GSTU11);glutathione S-transferase TAU 15 (GSTU15);glutathione S-transferase TAU 16 (GSTU16);glutathione S-transferase TAU 18 (GSTU18)	OsGSTU19, GSTU6, OsGSTU6, OsGSTU6.1, GSTU6.1;OsGSTU22;OsGSTU30;OsGSTU8, OsGST35, GST35;OsGSTU9
LOC101761478	DHHC-type zinc finger family protein	OsDHHC14;OsDHHC3, OsDHHC03, DHHC03;OsDHHC9, OsDHHC09, DHHC09
LOC101761479	unknown protein	
LOC101761480	vacuolar protein sorting 46.1 (VPS46.1);VPS46.2	
LOC101761481	cinnamoyl coa reductase (CCR2);NAD(P)-binding Rossmann-fold superfamily protein	CCR1, OsCCR1, OsCCR14, CCR14;OsCCR15, OsDFR8, DFR8;OsCCR16;OsCCR7;OsCCR8
LOC101761482	adenine nucleotide transporter 1 (ADNT1);Mitochondrial substrate carrier family protein	OsBT1-2
LOC101761483	unknown protein	
LOC101761485	AGAMOUS-like 24 (AGL24);SHORT VEGETATIVE PHASE (SVP)	OsMADS22, RMD1, DLN68, OsDLN68;OsMADS27, MADS-27a, OsSTA66, OsMADS27a;OsMADS47, OsMDP1, MDP, MDP1;OsMADS55, DLN163, OsDLN163
LOC101761486	BIG BROTHER (BB);RING/U-box superfamily protein	OsRFPH2-14, OsRING130, RING130, OsC3HC4_045, C3HC4_045;OsRING243, OsC3HC4_076, C3HC4_076;OsRING244, OsC3HC4_084, C3HC4_084;OsRING291, E3BB, OsE3BB, BB, OsBB, E3BB, OsE3BB;OsRING6, OsC3HC4_029, C3HC4_029
LOC101761488	ARABIDOPSIS THALIANA PHOSPHOLIPASE D DELTA (ATPLDDELTA);phospholipase D beta 1 (PLDBETA1);phospholipase D delta (PLDDELTA);phospholipase D gamma 1 (PLDGAMMA1)	OsPLDbeta1, OsC2DP79, C2DP79;OsPLDdelta1, OsPLDdelta, OsSTA233, OsC2DP77, C2DP77;OsPLDdelta2, RPLD5, OsPLDnu1, OsC2DP33, C2DP33;OsPLDdelta3, OsPLDnu2, OsC2DP61, C2DP61
LOC101761493	ubiquitin-conjugating enzyme 25 (UBC25);Ubiquitin-conjugating enzyme family protein	OsUBC39;OsUBC40;OsUBC41;OsUBC42;OsUBC43
LOC101761495	lectin protein kinase family protein;receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsESG1, SDRLK-ESG1, OsSDRLK-ESG1;SDRLK-19, OsSDRLK-19, OsSDRLK19;SDRLK-47, OsSDRLK-47, OsSDRLK47;SDRLK-48, OsSDRLK-48, OsSDRLK48;SDRLK-67, OsSDRLK-67, OsSDRLK67
LOC101761496	pitchoun 1 (PIT1);RING/FYVE/PHD zinc finger superfamily protein	OsRFPV-1, OsRING102, RING102;OsRFPV-2, OsRING231, RING231;OsRING314;OsRING5
LOC101761497	MATE efflux family protein	OsMATE1, OsMATE9, MATE9;OsMATE31;OsMATE35;OsMATE53
LOC101761498	unknown protein	
LOC101761501	damaged DNA binding 2 (DDB2)	OsWD40-2, UV-DDB2, OsUV-DDB2, OsDWD10, DWD10
LOC101761503	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	
LOC101761504	sterol 4-alpha-methyl-oxidase 2-1 (SMO2-1);sterol 4-alpha-methyl-oxidase 2-2;sterol 4-alpha-methyl-oxidase 2-2 (SMO2-2)	OsGL1-10;OsGL1-11;OsGL1-8, GL1-8
LOC101761505	golgin candidate 1 (GC1)	
LOC101761506	FUNCTIONS IN: molecular_function unknown;Topoisomerase II-associated protein PAT1	
LOC101761507	ammonium transporter 1;ammonium transporter 2 (AMT2)	OsAMT2;1, AMT2-1, OsAMT2.1, AMT2.1;OsAMT2;2, AMT2;2, OsAMT2.2;OsAMT2;3, AMT2;3, OsAMT2.3;OsAMT3;1, AMT3-1, OsAMT3.1, OsAMT2;2;OsAMT3;3, AMT3;3, OsAMT3.3
LOC101761508	EMBRYO DEFECTIVE 2730 (EMB2730);EMBRYO DEFECTIVE 2763 (EMB2763)	
LOC101761509	cell division control 6 (CDC6);Cell division control, Cdc6;origin recognition complex 1 (ORC1A)	OsCDC6;OsORC1
LOC101761510	actin-related protein C3 (ARPC3)	
LOC101761512	transducin family protein / WD-40 repeat family protein	OsWD40-149, OsDWD30, DWD30
LOC101761513	microtubule-associated protein 65-2 (MAP65-2);microtubule-associated proteins 65-1 (MAP65-1);PLEIADE (PLE)	OsMAP65-3.1;OsMAP65-3.2
LOC101761515	chloroplastic NIFS-like cysteine desulfurase (CPNIFS);nitrogen fixation S (NIFS)-like 1 (NFS1)	OsISC1;OsISC2
LOC101761516	B-cell receptor-associated 31-like;B-cell receptor-associated protein 31-like 	
LOC101761518	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	OsGADD45a1, GADD45a1;OsGADD45a2
LOC101761519	Eukaryotic translation initiation factor eIF2A family protein	
LOC101761521	pentatricopeptide repeat 336 (PPR336);Tetratricopeptide repeat (TPR)-like superfamily protein	
LOC101761523	SCARECROW-like 1 (SCL1);SCARECROW-like 21 (SCL21);SCARECROW-like 8 (SCL8)	OsCIGR2, OsGRAS-36, OsGRAS36, GRAS-36, GRAS36;OsGRAS-10, OsGRAS10, GRAS-10;OsGRAS-22, OsGRAS22, GRAS-22;OsGRAS-39, OsGRAS39, GRAS-39;SCL1, OsSCL1, OsGRAS-3, OsGRAS3, GRAS-3, GRAS3, OsPH1, ph1, CIGR, OsCIGR
LOC101761524	BolA-like family protein;chloroplast sulfur E (CPSUFE)	OsISC3;OsISC4
LOC101761525	Transducin/WD40 repeat-like superfamily protein	OsWD40-101;OsWD40-127;OsWD40-198;OsWD40-54;OsWD40-89, WD40-89, OsGORI, OsABT, ABT
LOC101761526	methionine aminopeptidase 2A (MAP2A);methionine aminopeptidase 2B (MAP2B)	OsMetAP15, MetAP15;OsMetAP5, MetAP5;OsMetAP9, MetAP9
LOC101761527	Pentatricopeptide repeat (PPR) superfamily protein	
LOC101761528	Peroxidase superfamily protein	prx117, OsPRX117, OsPRX47, PRX47;prx32, OsPRX32, OsPER64, PER64;prx33;prx34, OsPrx34
LOC101761529	unknown protein	
LOC101761530	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein	OsPR1#012, PR1#012, OsPR1-12, OsPR1.1, PR1.1;OsPR1#022, OsPR1-22;OsPR1a, OsPR-1a, PR1a, OsPR1#074, OsPR1-74, PR-1a, OsSCP, SCP, OsPR1, OsPR1b, PR1alpha, OsPR1alpha;OsPR1b, PR1b, OsPR1#011, OsPR1-11, PR1-11, PR-1b, OsPR-1b, PR1, PR-1, OsPR1a, PR1a
LOC101761531	serine-rich protein-related	
LOC101761532	detoxifying efflux carrier 35 (DTX35);MATE efflux family protein	OsMATE16;OsMATE33;OsMATE34
LOC101761533	Uncharacterised protein family (UPF0041)	
LOC101761534	phospholipase A2-beta (PLA2-BETA);Phospholipase A2 family protein	PLA2-I, OsSPLA2gamma, SPLA2gamma
LOC101761535	Protein of unknown function (DUF2921)	
LOC101761536	Leucine-rich receptor-like protein kinase family protein;Leucine-rich repeat family protein;Leucine-rich repeat protein kinase family protein;PEP1 receptor 1 (PEPR1);PEP1 receptor 2 (PEPR2)	OsPEPR1;OsPEPR2;OsRLCK275
LOC101761537	Eukaryotic aspartyl protease family protein	
LOC101761540	Arabidopsis protein of unknown function (DUF241)	
LOC101761541	WOODEN LEG (WOL)	HK4, OHK4, HK, OsHK4, Crl1b, Ohk4, OHK4/OsHK4, OsPAL1;OHK2, HK, OsHK3, Ohk, Crl2, Ohk2, OsHK3b, OsHK03;OHK3, HK, OsHK5, Crl3, Ohk3, OsHK2;OHK5, HK, OsHK6, HK6, Crl1a, Ohk5, OsHK1, OsCKT1, ABL1, OsABL1
LOC101761543	UDP-glucosyl transferase 71C3 (UGT71C3);UDP-glucosyl transferase 71C4 (UGT71C4);UDP-glucosyl transferase 88A1 (UGT88A1);UDP-Glycosyltransferase superfamily protein	OsUGT707A3;OsUGT707A5
LOC101761546	phosphate transporter 1	OsPT4, PHT1-4, OsPht1;4, PHT1-2, PHT1;4, OsPHT1;4;OsPT5, OsPht1;5, Pht1;5, PHT1-5
LOC101761547	multidrug resistance-associated protein 15 (MRP15);multidrug resistance-associated protein 3 (MRP3);multidrug resistance-associated protein 9 (MRP9)	OsABCC13, OsMRP13, OsMRP5;OsABCC2, OsMRP2;OsABCC3, ABCC3, OsMRP3;OsABCC7, OsMRP7
LOC101761549	nudix hydrolase homolog 12 (NUDT12);nudix hydrolase homolog 13 (NUDX13);nudix hydrolase homolog 21 (NUDT21);nudix hydrolase homolog 4 (NUDT4)	OsNUDX12, OsSTA61, OsNUDX12a, NUDX12a;OsNUDX13;OsNUDX6, OsNUDX12b, NUDX12b
LOC101761551	peptidemethionine sulfoxide reductase 1 (PMSR1);peptidemethionine sulfoxide reductase 2 (PMSR2);peptidemethionine sulfoxide reductase 3 (PMSR3);peptide met sulfoxide reductase 4 (PMSR4)	OsMSRA2.1;OsMSRA2.2;OsMSRA4, OsMSRA4.1, MSRA4.1;OsMSRA5
LOC101761552	FUNCTIONS IN: molecular_function unknown	OsDG2
