HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.2HG0108680.1.CDS1	BEST Arabidopsis thaliana protein match is: conserved peptide upstream open reading frame 47 (TAIR:AT5G03190.1);conserved peptide upstream open reading frame 47 (CPUORF47);methyltransferases	
HORVU.MOREX.r3.2HG0108690	Uncharacterised protein family (UPF0497)	OsCASP_like12;OsCASP_like14;OsCASP_like17;OsCASP_like21
HORVU.MOREX.r3.2HG0108710.1.CDS1	FAR1-related sequence 3 (FRS3);FAR1-related sequence 5 (FRS5)	
HORVU.MOREX.r3.2HG0108720.1.CDS1	FAR1-related sequence 3 (FRS3);FAR1-related sequence 5 (FRS5)	
HORVU.MOREX.r3.2HG0108780	26S proteasome AAA-ATPase subunit RPT5B (RPT5B);AAA-type ATPase family protein;regulatory particle AAA-ATPase 2A (RPT2a);regulatory particle triple-A ATPase 3 (RPT3)	OsRpt2b, Rpt2b;OsRpt3, Rpt3;OsRpt5b, Rpt5b;TBP1, TBPOs-1, OsTBP1, OsRpt5a, Rpt5a, OsRPT5A, OsSPL43;TBPOs-2, OsTBP2, OsRpt2a, Rpt2a, OsRPT2a
HORVU.MOREX.r3.2HG0108800	GASSHO1 (GSO1);Leucine-rich repeat protein kinase family protein;PEP1 receptor 1 (PEPR1);PEP1 receptor 2 (PEPR2)	OsPEPR2;OsSGN3a, SGN3a
HORVU.MOREX.r3.2HG0108840.1.CDS1	salt tolerance zinc finger (STZ);zinc finger of Arabidopsis thaliana 6 (ZAT6);zinc-finger protein 2 (ZF2);zinc-finger protein 3 (ZF3)	OsZOS12-09;OsZOS3-11;OsZOS3-12;OsZOS3-18;OsZOS7-07
HORVU.MOREX.r3.2HG0108920.1.CDS1	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	OsSIT2;OsSIT3, OsBDR1, BDR1
HORVU.MOREX.r3.2HG0108930.1.CDS1	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	OsSIT2;OsSIT3, OsBDR1, BDR1
HORVU.MOREX.r3.2HG0108940.1.CDS1	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	OsSIT2;OsSIT3, OsBDR1, BDR1
HORVU.MOREX.r3.2HG0109000.1.CDS1	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	OsSIT2;OsSIT3, OsBDR1, BDR1
HORVU.MOREX.r3.2HG0109070.1.CDS1	Concanavalin A-like lectin protein kinase family protein;receptor lectin kinase (RLK)	OsSIT2;OsSIT3, OsBDR1, BDR1
HORVU.MOREX.r3.2HG0109140.1.CDS1	NAD(P)-binding Rossmann-fold superfamily protein	OsABA2, OsSDR, SDR
HORVU.MOREX.r3.2HG0109150.1.CDS1	NAD(P)-binding Rossmann-fold superfamily protein	OsABA2, OsSDR, SDR
HORVU.MOREX.r3.2HG0109160.1.CDS1	NAD(P)-binding Rossmann-fold superfamily protein	OsABA2, OsSDR, SDR
HORVU.MOREX.r3.2HG0109180.1.CDS1	NAD(P)-binding Rossmann-fold superfamily protein	OsABA2, OsSDR, SDR
HORVU.MOREX.r3.2HG0109200.1.CDS1	calmodulin-binding family protein	OsIQM3;OsIQM5;OsSTA242, OsIQM6;OsSTA91, OsIQM2
HORVU.MOREX.r3.2HG0109220	calmodulin-binding family protein	OsIQM3;OsIQM5;OsSTA242, OsIQM6;OsSTA91, OsIQM2
HORVU.MOREX.r3.2HG0109280	Nascent polypeptide-associated complex (NAC), alpha subunit family protein;nascent polypeptide-associated complex subunit alpha-like protein 2 (NACA2);nascent polypeptide-associated complex subunit alpha-like protein 3 (NACA3)	
HORVU.MOREX.r3.2HG0109300.1.CDS1	inflorescence meristem receptor-like kinase 2 (IMK2);Leucine-rich repeat protein kinase family protein;meristematic receptor-like  kinase (MRLK);transmembrane kinase-like 1 (TMKL1)	OsPRK
HORVU.MOREX.r3.2HG0109310	cysteine-rich RLK (RECEPTOR-like protein kinase) 19 (CRK19);cysteine-rich RLK (RECEPTOR-like protein kinase) 26 (CRK26)	OsRLCK144;OsRLCK145, OsJRL12, JRL12;OsRLCK295;OsRLCK319, OsCRLK21, CRLK21
HORVU.MOREX.r3.2HG0109340.1.CDS1	senescence associated gene 20 (SAG20)	
HORVU.MOREX.r3.2HG0109350.1.CDS1	senescence associated gene 20 (SAG20)	
HORVU.MOREX.r3.2HG0109400	D-alanine--D-alanine ligase family	
HORVU.MOREX.r3.2HG0109410.1.CDS1	COBRA-like protein 10 precursor (COBL10);COBRA-like protein 11 precursor (COBL11);COBRA-like protein-7 precursor (COBL7);COBRA-like protein 8 precursor (COBL8);SHAVEN 2 (SHV2)	OsBC1L1, OsPCS13, PCS13;OsBC1L4, OsPCS7, PCS7;OsBC1L5, OsPCS11, PCS11;OsBC1L8, PCS12, OsPCS12;OsBC1L9, OsPCS2, PCS2
HORVU.MOREX.r3.2HG0109420	Plant invertase/pectin methylesterase inhibitor superfamily	OsPME10;OsPME14;OsPME23;OsPME27;OsPME6, OsPME1
HORVU.MOREX.r3.2HG0109430	ACT domain repeat 3 (ACR3);ACT-like superfamily protein	OsACR5;OsACR6
HORVU.MOREX.r3.2HG0109470.1.CDS1	NADH dehydrogenase subunit 7 (NAD7);NAD(P)H dehydrogenase subunit H (NDHH)	
HORVU.MOREX.r3.2HG0109530	Protein phosphatase 2C family protein	OsPP2C03, PP2C03, OsPP2C3, PP2C3, OsPP7, OsABI2;OsPP2C15, OsPP25;OsPP2C33, OsPP51;OsPP53;OsPP99
HORVU.MOREX.r3.2HG0109700	galactinol synthase 1 (GolS1);galactinol synthase 2 (GolS2);galactinol synthase 3 (GolS3);galactinol synthase 4 (GolS4);galactinol synthase 6 (GolS6)	OsGolS1, GolS1, OsGolS2, GolS2;wsi76, OsLEA24/OsGolS2, OsGolS2/OsLEA24, OsLEA24, OsGolS2, GolS2, LEA24, OsGolS1, GolS1, OsGOLS2, GOLS2
HORVU.MOREX.r3.2HG0109720	transcription coactivators	OsDLN197;OsDLN83, OsPHD15, PHD15
HORVU.MOREX.r3.2HG0109800	Heat shock protein DnaJ with tetratricopeptide repeat;Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.2HG0109850	Arabidopsis thaliana protein kinase 19 (ATPK19);FUSED (FU)	OsS6K1, OsAGC7, AGC7
HORVU.MOREX.r3.2HG0109900	FAR1-related sequence 3 (FRS3);FAR1-related sequence 5 (FRS5)	
HORVU.MOREX.r3.2HG0109930	BED zinc finger 	
HORVU.MOREX.r3.2HG0109970	lon protease 1 (LON1);lon protease 2 (LON2);lon protease 3 (LON3);lon protease 4 (LON4)	OsLon1, LON1, OsLonP4, LONP4, LON2;OsLonP1, LONP1;OsLonP3, LONP3
HORVU.MOREX.r3.2HG0109980	Prolyl oligopeptidase family protein	OsPOP17, POP17;OsPOP7, POP7
HORVU.MOREX.r3.2HG0110000.1.CDS1	nicotianamine synthase 1 (NAS1);nicotianamine synthase 2 (NAS2);nicotianamine synthase 3 (NAS3);nicotianamine synthase 4 (NAS4)	OsNAS1;OsNAS2, OsNAS1;OsNAS3
HORVU.MOREX.r3.2HG0110020	F-box family protein	OsFbox401, Os_F0042, OsFBDUF39, FBDUF39;OsFbox446, Os_F0095, OsFBX292, FBX292;OsFbox447, Os_F0225, OsFBX293, FBX293;OsFbox448, Os_F0428, OsFBDUF46, FBDUF46
HORVU.MOREX.r3.2HG0110040	F-box family protein	OsFbox401, Os_F0042, OsFBDUF39, FBDUF39;OsFbox446, Os_F0095, OsFBX292, FBX292;OsFbox447, Os_F0225, OsFBX293, FBX293;OsFbox448, Os_F0428, OsFBDUF46, FBDUF46
HORVU.MOREX.r3.2HG0110060	aldehyde dehydrogenase 10A8 (ALDH10A8);aldehyde dehydrogenase 10A9 (ALDH10A9);aldehyde dehydrogenase 22A1 (ALDH22A1)	Badh1, badh1, BAD1, BADH1, OsBADH1, BADH, OsALDH10A5, ALDH10A5;OsALDH22, ALDH22, OsALDH22A1;OsALDH2a, ALDH2a, Aldh2a, OsSTA73, OsALDH2B5, ALDH2B5;sk2(t)(scl, fgr), fgr, scl, BAD2, BADH2, sk2, OsBADH2, Badh2, badh2, Os2AP, BADH-2, OsALDH10A8, ALDH10A8
HORVU.MOREX.r3.2HG0110070	RNI-like superfamily protein	
HORVU.MOREX.r3.2HG0110110	RNI-like superfamily protein	
HORVU.MOREX.r3.2HG0110130.1.CDS1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH176, bHLH176;OsbHLH178, bHLH178;OsbHLH182, bHLH182, OsFIF3, FIF3
HORVU.MOREX.r3.2HG0110140	poly(A) polymerase 3 (PAPS3)	
HORVU.MOREX.r3.2HG0110190	GIBBERELLIC ACID INSENSITIVE (GAI);REPRESSOR OF GA1-3 1 (RGA1);RGA-like 1 (RGL1);RGA-like 2 (RGL2);RGA-like protein 3 (RGL3)	OsRAM1, OsGRAS43, GRAS43;OsSCR1, OsSCR, OsGRAS-41, OsGRAS41, GRAS-41, GRAS41;OsSLRL1, OsGAI, OsSLRL, OsGRAS-1, OsGRAS1, GAI, SLRL, GRAS-1, GRAS1;slr1-1, slr1, slr, GAI, OsGAI, OsSLR1, Os SLR1, OsRGA1, OsGRAS-18, OsGRAS-18, GRAS-18, GRAS18, SLR-1
HORVU.MOREX.r3.2HG0110420	AT-IMP;importin alpha isoform 1 (IMPA-1);importin alpha isoform 2 (IMPA-2);importin alpha isoform 4 (IMPA-4)	rImpa1a, Impa1a, Osimpa1, Osimpalpha1, OsImpalpha1a, Impalpha1a
HORVU.MOREX.r3.2HG0110490.1.CDS1	myb domain protein 108 (MYB108);myb domain protein 112 (MYB112);myb domain protein 2 (MYB2);myb domain protein 62 (MYB62);myb domain protein 78 (MYB78)	Os2R_MYB52, MYB2-61, OsMYB2-61;OsJAmyb, JAmyb, OsJAMyb, OsMYB21, MYB21, Os2R_MYB91, 2R_MYB91, OgSH11, OsSH11, MYB2-109, OsMYB2-109;OsMYB2, MYB2, Os2R_MYB36, MYB2-40, OsMYB2-40;OsMYB, Os2R_MYB6, MYB2-7, OsMYB2-7;R2R3-MYB, Os2R_MYB73, MYB2-87, OsMYB2-87
HORVU.MOREX.r3.2HG0110530	galactinol synthase 1 (GolS1);galactinol synthase 2 (GolS2);galactinol synthase 3 (GolS3);galactinol synthase 4 (GolS4);galactinol synthase 6 (GolS6)	OsGolS1, GolS1, OsGolS2, GolS2;wsi76, OsLEA24/OsGolS2, OsGolS2/OsLEA24, OsLEA24, OsGolS2, GolS2, LEA24, OsGolS1, GolS1, OsGOLS2, GOLS2
HORVU.MOREX.r3.2HG0110560.1.CDS1	pentatricopeptide (PPR) repeat-containing protein;Pentatricopeptide repeat (PPR-like) superfamily protein	OsFLO18;OsPPR920, OsPPR939, PPR939;OsSTA65, STA65
HORVU.MOREX.r3.2HG0110600	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP14;OsGELP15, OsGELP15a, OsGELP15b, OsGELP15c;OsGELP16, OsGELP16a, OsGELP16b;OsGELP60;OsGELP61
HORVU.MOREX.r3.2HG0110640	TGACG motif-binding factor 6 (TGA6)	OsbZIP28, OsbZIP1, OsNIF1, OsTGA3, TGA3, OsTGA3/OsbZIP08;OsbZIP63, rTGA2.1, OsrTGA2.1, OsbZIP20, bZIP20
HORVU.MOREX.r3.2HG0110650	rhodanese-like domain-containing protein / PPIC-type PPIASE domain-containing protein	OsStr16
HORVU.MOREX.r3.2HG0110720	GTP-binding family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	Os_F0781;OsNug2
HORVU.MOREX.r3.2HG0110730	DNA primases	
HORVU.MOREX.r3.2HG0110750	5'-AMP-activated protein kinase beta-2 subunit protein;AKINBETA1	akin-b, akin-beta, OsSnRK1beta3, SnRK1beta3;OsSnRK1beta1, SnRK1beta1
HORVU.MOREX.r3.2HG0110760	calmodulin 3 (CAM3);calmodulin 5 (CAM5);calmodulin 6 (CAM6);calmodulin 7 (CAM7)	CALa*, Cal1, CaM-2, CAM2, CAM, OsCaM2, OsCam2, OsCaM1, CaM1;CALb*, Cal2, CAM1-2, CAM, CaM-1, OsCam1-2, OsCaM1-2;OsCam1-3, OsCaM1-3, CAM1;OsCaM1, OsCam1-1, OsCaM1-1, CAM3, Cam1-1, OsCAM1.1, CAM1.1;OsCaM3, OsCam3, CaM3
HORVU.MOREX.r3.2HG0110780	alpha/beta-Hydrolases superfamily protein;INVOLVED IN: 10-formyltetrahydrofolate biosynthetic process, folic acid and derivative biosynthetic process	
HORVU.MOREX.r3.2HG0110800	Ca2+regulated serine-threonine protein kinase family protein;CBL-interacting protein kinase 3 (CIPK3)	OsCIPK03, CIPK3, OsCIPK3, OsSnRK3.27, SnRK3.27;OsCIPK33, OsSnRK3.32, SnRK3.32;OsCK1, CIPK31, OsCIPK31, Os-CIPK3, OsSnRK3.11, SnRK3.11
HORVU.MOREX.r3.2HG0110810	alpha-L-arabinofuranosidase 1 (ASD1);alpha-L-arabinofuranosidase 2 (ASD2)	OsARAF3
HORVU.MOREX.r3.2HG0110840	AtkdsA1;ATKDSA2	
HORVU.MOREX.r3.2HG0110850	NAK;protein kinase 2A (APK2A);Protein kinase superfamily protein	OsRLCK102;OsRLCK241, PTK11, OsPTK11;OsRLCK299
HORVU.MOREX.r3.2HG0110860	maigo2 (MAG2);RINT-1 / TIP-1 family	
HORVU.MOREX.r3.2HG0110980	unknown protein	
HORVU.MOREX.r3.2HG0111000	ENHANCED EM LEVEL (EEL)	ABL1, bZIP46, OsABL1, OsbZIP46, OsAREB8, OsABF2, ABF2, OsABF3, ABF3, OsbZIP46CA1, OsZIP46, ZIP46, OsbZIP46/OsABF2, AREB1, OsAREB1;OsbZIP09, OsbZIP9, OsABF6, ABF6, HBF2;OsbZIP29;OsbZIP42, OsABF7, ABF7, HBF1, DLN149, OsDLN149;OsbZIP62, OsABF8, OsEEL, EEL
HORVU.MOREX.r3.2HG0111020.1.CDS1	ARA12;ATSBT5.2;AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);Subtilase family protein;subtilisin-like serine protease 2 (SLP2)	OsSub25;OsSub29;OsSub46;OsSub54;OsSub61
HORVU.MOREX.r3.2HG0111040	NAD(P)-binding Rossmann-fold superfamily protein	
HORVU.MOREX.r3.2HG0111060	HISTIDINE BIOSYNTHESIS 5B (HISN5B);imidazoleglycerol-phosphate dehydratase (IGPD)	STS22
HORVU.MOREX.r3.2HG0111070	CONTAINS InterPro DOMAIN/s: Zinc finger, TTF-type (InterPro:IPR006580);General transcription factor 2-related zinc finger protein;TTF-type zinc finger protein with HAT dimerisation domain	
HORVU.MOREX.r3.2HG0111100.1.CDS1	ETHYLENE-INSENSITIVE3 (EIN3);Ethylene insensitive 3 family protein;ETHYLENE-INSENSITIVE3-like 1 (EIL1);ETHYLENE-INSENSITIVE3-like 3 (EIL3)	EIL1, OsEIL1, EIL1a, OsEIL1a, MHZ6/OsEIL1, MHZ6, OsMHZ6;OsEIL1, EIN3, OsEIN3, MHZ6, OsEIL1a, EIL1a, OsEIL1b, EIL1b;OsEIL2;OsEIL3
HORVU.MOREX.r3.2HG0111130	NAD(P)-binding Rossmann-fold superfamily protein	
HORVU.MOREX.r3.2HG0111150.1.CDS1	ATSBT5.2;AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);subtilase 4.13 (SBT4.13);Subtilase family protein;subtilisin-like serine protease 2 (SLP2)	OsSub25;OsSub29;OsSub46;OsSub54;OsSub61
HORVU.MOREX.r3.2HG0111160	cysteine-rich RLK (RECEPTOR-like protein kinase) 10 (CRK10);cysteine-rich RLK (RECEPTOR-like protein kinase) 20 (CRK20);cysteine-rich RLK (RECEPTOR-like protein kinase) 4 (CRK4);cysteine-rich RLK (RECEPTOR-like protein kinase) 7 (CRK7)	OsRLCK279, SDRLK-46, OsSDRLK-46, SDRLK46, OsSDRLK46;OsSDK11;SDRLK-42, OsSDRLK-42, OsSDRLK42;SDRLK-43, OsSDRLK-43, OsSDRLK43
HORVU.MOREX.r3.2HG0111170	receptor kinase 3 (RK3);S-locus lectin protein kinase family protein	OsRLCK279, SDRLK-46, OsSDRLK-46, SDRLK46, OsSDRLK46;OsSDK11;SDRLK-42, OsSDRLK-42, OsSDRLK42;SDRLK-43, OsSDRLK-43, OsSDRLK43
HORVU.MOREX.r3.2HG0111190	alpha/beta-Hydrolases superfamily protein;BODYGUARD1 (BDG1)	OsBDG;Os-BDG, OsBDG
HORVU.MOREX.r3.2HG0111220	Pectin lyase-like superfamily protein;QUARTET 1 (QRT1)	OsPME15;OsPME18;OsPME20, OsEnS-109;OsPME5
HORVU.MOREX.r3.2HG0111240	embryo defective 1011 (emb1011)	
HORVU.MOREX.r3.2HG0111250	Homeodomain-like superfamily protein;myb-related protein 1 (MYR1)	OsAPL;OsDLN147, OsDLN147a, OsDLN147b, DLN147a, DLN147b;OsDLN196;OsDLN85, OsDLN85a, OsDLN85b, DLN85a, DLN85b
HORVU.MOREX.r3.2HG0111270	WUSCHEL related homeobox 11 (WOX11);WUSCHEL related homeobox 12 (WOX12)	OsWOX10, Os WOX10, OsWOX11/12, OsWOX11;OsWOX11, Os WOX11, OsWOX12A;OsWOX6, Os WOX6, OsWOX12B, WOX12B;OsWOX7, Os WOX7, WOX7, OsWOX9A, DWT1/WOX9A, OsDWT1, WOX9A, WOX8/9, OsWOX8/9
HORVU.MOREX.r3.2HG0111280	cycling DOF factor 1 (CDF1);cycling DOF factor 2 (CDF2);cycling DOF factor 3 (CDF3)	OsDof12, Dof12, OsDof-12, OsCDF1, OsCDF1/OsDOF12, OsDOF12, CDF1, DOF12, OsDof11, Dof11;OsDof23, Dof23, OsDof-23, OsDof1, OsCDF3, CDF3, OsDof24, Dof24;OsDof26, Dof26, OsDof-26, OsDof27, Dof27;OsDof4, Dof4, OsDof-4, Dof-4, OsDof3, Dof3;OsDof, OsDof2, Dof2, OsDof-2
HORVU.MOREX.r3.2HG0111290	atypical CYS  HIS rich thioredoxin 3 (ACHT3);atypical CYS  HIS rich thioredoxin 4 (ACHT4)	OsEnS-44, EnS-44, OsEnS44, EnS44
HORVU.MOREX.r3.2HG0111350	Arabidopsis NAC domain containing protein 87 (ANAC087);NAC domain containing protein 100 (NAC100);NAC domain containing protein 46 (NAC046);NAC domain containing protein 80 (NAC080)	NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;ONAC006, ONAC6, DLN95, OsDLN95;ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86;OsNAC15, ONAC015, ONAC15, ONAC069, ONAC69;OsNAC1, ONAC027, ONAC27, NAC27, OMTN1, OsNAC1/ONAC027, DLN60, OsDLN60, OsORE1
HORVU.MOREX.r3.2HG0111370	Arabidopsis NAC domain containing protein 87 (ANAC087);NAC domain containing protein 100 (NAC100);NAC domain containing protein 46 (NAC046);NAC domain containing protein 80 (NAC080)	NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;ONAC006, ONAC6, DLN95, OsDLN95;ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86;OsNAC15, ONAC015, ONAC15, ONAC069, ONAC69;OsNAC1, ONAC027, ONAC27, NAC27, OMTN1, OsNAC1/ONAC027, DLN60, OsDLN60, OsORE1
HORVU.MOREX.r3.2HG0111380	Arabidopsis NAC domain containing protein 87 (ANAC087);NAC domain containing protein 100 (NAC100);NAC domain containing protein 46 (NAC046);NAC domain containing protein  6 (NAC6)	NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;ONAC006, ONAC6, DLN95, OsDLN95;ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86;ONAC072, ONAC72, DLN228, OsDLN228;OsNAC15, ONAC015, ONAC15, ONAC069, ONAC69
HORVU.MOREX.r3.2HG0111410	Arabidopsis NAC domain containing protein 87 (ANAC087);NAC domain containing protein 100 (NAC100);NAC domain containing protein 46 (NAC046);NAC domain containing protein  6 (NAC6)	NAC2, OsNAC2, ONAC004, ONAC4, ONAC034, ONAC34, ONAC058, ONAC58, OMTN2, Ostil1, OsNAC2/ONAC004, OsORE1.2, DLN113, OsDLN113;ONAC020, ONAC20, DLN1, OsDLN1;ONAC039, ONAC39, NAC39, OsCUC1, DLN86, OsDLN86;OsNAC15, ONAC015, ONAC15, ONAC069, ONAC69;OsNAC1, ONAC027, ONAC27, NAC27, OMTN1, OsNAC1/ONAC027, DLN60, OsDLN60, OsORE1
HORVU.MOREX.r3.2HG0111440	hydroxyproline-rich glycoprotein family protein	OsEULD1a, EULD1a, OrysaEULD1A, OSR40 g2, OSR40g2, R40g2;OsEULD1b, EULD1b, Osr40c1, r40c1, OSR40c1, OrysaEULD1B;OsEULD2, EULD2, OrysaEULD2, OSR40c2, R40c2;OsEULS2, OrysaEULS2, OSR40 g3, OSR40g3, R40g3
HORVU.MOREX.r3.2HG0111450	hydroxyproline-rich glycoprotein family protein	OsEULD1a, EULD1a, OrysaEULD1A, OSR40 g2, OSR40g2, R40g2;OsEULD1b, EULD1b, Osr40c1, r40c1, OSR40c1, OrysaEULD1B;OsEULD2, EULD2, OrysaEULD2, OSR40c2, R40c2
HORVU.MOREX.r3.2HG0111460	hydroxyproline-rich glycoprotein family protein	OsEULD1a, EULD1a, OrysaEULD1A, OSR40 g2, OSR40g2, R40g2;OsEULD1b, EULD1b, Osr40c1, r40c1, OSR40c1, OrysaEULD1B;OsEULD2, EULD2, OrysaEULD2, OSR40c2, R40c2
HORVU.MOREX.r3.2HG0111480	ATAF2;NAC domain containing protein 25 (NAC025);NAC domain containing protein 47 (NAC047);NAC-like, activated by AP3/PI (NAP)	ONAC103, OsNAC103, OsNAC18, NAC18;ONAC131;OsNAC10, NAC10, ONAC122, NAC122, OsSNAC10, SNAC10;OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1
HORVU.MOREX.r3.2HG0111500	NAC domain containing protein 25 (NAC025);NAC domain containing protein  2 (NAC2);NAC domain containing protein 47 (NAC047);NAC-like, activated by AP3/PI (NAP)	ONAC010, ONAC10, OsSTA199, OsNAC3, NAC3;ONAC103, OsNAC103, OsNAC18, NAC18;ONAC131;OsNAC10, NAC10, ONAC122, NAC122, OsSNAC10, SNAC10;OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1
HORVU.MOREX.r3.2HG0111520	RNA-binding (RRM/RBD/RNP motifs) family protein	OsC3H22, OsC3H23, C3H23;OsC3H23, OsC3H24, C3H24;OsC3H53, OsC3H59, C3H59
HORVU.MOREX.r3.2HG0111580	apyrase 1 (APY1);apyrase 2 (APY2);GDA1/CD39 nucleoside phosphatase family protein	OsAPY1;OsAPY7;OsAPY, RTH1, OsAPY3, APY3
HORVU.MOREX.r3.2HG0111600.1.CDS1	FAD/NAD(P)-binding oxidoreductase	OsPKIWI, PKIWI502
HORVU.MOREX.r3.2HG0111610	cellulose synthase 10 (CESA10);cellulose synthase 1 (CESA1);CONSTITUTIVE EXPRESSION OF VSP 1 (CEV1);IRREGULAR XYLEM 3 (IRX3)	Bc6*, Bc6, OsCesA9, CESA9, OsCESA9, OS_CESA09, OsCesA 9, CesA9, BC88, SDBC1, OsSDBC1;OsCesA1, OsCesA-1, OsCESA1, OS_CESA01, CesA1;OsCesA2, OsCESA2, OS_CESA02;OsCesA5, OsCESA5, OS_CESA05;OsCesA8, OsCESA8, OS_CESA08, CesA8
HORVU.MOREX.r3.2HG0111630	Protein of Unknown Function (DUF239)	OsLOTR1
HORVU.MOREX.r3.2HG0111640	galacturonosyltransferase 1 (GAUT1);galacturonosyltransferase 4 (GAUT4);galacturonosyltransferase 7 (GAUT7)	OsGAUT15;OsGAUT16;OsGAUT17;OsGAUT18;OsGAUT19
HORVU.MOREX.r3.2HG0111650		
HORVU.MOREX.r3.2HG0111700.1.CDS1	Peroxidase superfamily protein	Pox, prx135, OsPRX1, OsPRX4;prx130, OsPRX130, OsPRX2, PRX2;prx2;PRX2, OsPRX2;prx41, OsPrx41, OsPOX8.1, POX8.1, OsPOD2, POD2
HORVU.MOREX.r3.2HG0111730.1.CDS1	Calcium-binding EF-hand family protein;calmodulin like 42 (CML42);calmodulin like 43 (CML43);EF hand calcium-binding protein family;multicopy suppressors of snf4 deficiency in yeast 3 (MSS3)	OsCML24;OsCML27;OsCML32
HORVU.MOREX.r3.2HG0111750	EMBRYO DEFECTIVE 976 (EMB976)	OsTCD10
HORVU.MOREX.r3.2HG0111790	Leucine-rich repeat protein kinase family protein	OsPRK
HORVU.MOREX.r3.2HG0111800	eukaryotic translation initiation factor 2 beta subunit (EIF2 BETA);Translation initiation factor IF2/IF5	
HORVU.MOREX.r3.2HG0111810	Arabidopsis thaliana protein kinase 19 (ATPK19);serine/threonine protein kinase 2 (S6K2)	OsAGC14;OsAGC8;OsS6K1, OsAGC7, AGC7
HORVU.MOREX.r3.2HG0111880	zinc ion binding	
HORVU.MOREX.r3.2HG0111920	WRKY DNA-binding protein 54 (WRKY54);WRKY DNA-binding protein 67 (WRKY67)	OsWRKY45, OsWRKY45-1, OsWRKY45-2, WRKY45-1, WRKY45-2;OsWRKY47;OsWRKY79, WRKY-79
HORVU.MOREX.r3.2HG0111960	WRKY DNA-binding protein 54 (WRKY54)	OsWRKY45, OsWRKY45-1, OsWRKY45-2, WRKY45-1, WRKY45-2;OsWRKY47;OsWRKY79, WRKY-79
HORVU.MOREX.r3.2HG0111990	N2,N2-dimethylguanosine tRNA methyltransferase	
HORVU.MOREX.r3.2HG0112010	vaculolar sorting receptor 3 (VSR3);VACUOLAR SORTING RECEPTOR 2 (VSR2);vacuolar sorting receptor 4 (VSR4);vacuolar sorting receptor homolog 1 (VSR1)	OsVSR1;OsVSR2;OsVSR3;OsVSR4;VSR3, OsVSR3, OsVSR5, VSR5
HORVU.MOREX.r3.2HG0112030	high-level expression of sugar-inducible gene 2 (HSI2);HSI2-like 1 (HSL1)	OsGD1, OsVAL1, VAL1, DLN186, OsDLN186;OsVAL2, VAL2, DLN195, OsDLN195
HORVU.MOREX.r3.2HG0112060	basic leucine-zipper 52 (bZIP52);Basic-leucine zipper (bZIP) transcription factor family protein	OsbZIP61;OsbZIP84, BZIP84;RF2a, OsbZIP75;RF2b, OsRF2B, OsbZIP30, bZIP30
HORVU.MOREX.r3.2HG0112110	PAP/OAS1 substrate-binding domain superfamily	OsNTP12;OsNTP13;OsNTP6;OsNTP8
HORVU.MOREX.r3.2HG0112150	alpha-galactosidase 1 (AGAL1);alpha-galactosidase 2 (AGAL2);Melibiase family protein	alphaGa1, alpha-Gal I;alpha-Gal III
HORVU.MOREX.r3.2HG0112170	ARP2/3 complex 16 kDa subunit (p16-Arc);CROOKED (CRK)	
HORVU.MOREX.r3.2HG0112180	lectin protein kinase family protein;Protein kinase superfamily protein;S-domain-2 5 (SD2-5)	OsMAK5;OsMAK9;OsRLCK168
HORVU.MOREX.r3.2HG0112190.1.CDS1	ovate family protein 17 (OFP17)	OsOFP32;OsOFP33
HORVU.MOREX.r3.2HG0112220	thiamin pyrophosphokinase1 (TPK1);thiamin pyrophosphokinase 2 (TPK2)	OsSTA15;ROX1
HORVU.MOREX.r3.2HG0112230	B12D protein	OsB12D1
HORVU.MOREX.r3.2HG0112380	potassium transporter 2 (KT2)	OsHAK8;OsHAK9
