QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_1BG0079960	mitogen-activated protein kinase kinase kinase 15 (MAPKKK15);mitogen-activated protein kinase kinase kinase 16 (MAPKKK16);mitogen-activated protein kinase kinase kinase 17 (MAPKKK17);mitogen-activated protein kinase kinase kinase 18 (MAPKKK18)	OsMAP3K6, OsMKKK70, MKKK70;OsMAPKKK63;OsMEK19, OsMAPKKK69, MAPKKK69;OsNPK1-PK, NPK1-PK, OsMKKK62, MKKK62, OsMAPKKK62, MAPKKK62, MEK7, OsMEK7, MAPKKK17, OsMAPKKK17;OsSTE11, OsMKKK55, MKKK55
QOZ80_1BG0079980	AWPM-19-like family protein	AWPM-19, PM19, OsPM1, OsPM-1, OsPM19L1, PM19L1, OsAWPM-19, OsPM19;OsPM19L2
QOZ80_1BG0080000	Nodulin MtN3 family protein	OsSWEET1a, SWEET1a;OsSWEET1b, SWEET1b;OsSWEET2a, SWEET2a;OsSWEET2b, SWEET2b;OsSWEET3b, SWEET3b
QOZ80_1BG0080010	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain	OsFYVE12;OsPRAF2, OsFYVE10, FYVE10;OsRLR4, OsFYVE09, FYVE09, OsFYVE9, FYVE9;OsSTA28, OsFYVE01, OsFYVE01, FYVE01
QOZ80_1BG0080020	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase (CHAT);HXXXD-type acyl-transferase family protein	OsAT11, OsAt11;OsAT12, OsAt12;OsAT17, OsAt17;OsAT18, OsAt18;OsAT19, OsAt19
QOZ80_1BG0080030	BSMT1;jasmonic acid carboxyl methyltransferase (JMT);NAMT1;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	Os4OCLAMT1;OsSAMT, OsJMT1, JMT1, Os4OCLAMT2, 4OCLAMT2
QOZ80_1BG0080070	CYTOCHROME P450 51G1 (CYP51G1)	OsCYP51G1;OsCYP51H1;OsCYP51H4;OsCYP51H8;OsSFD5, OsCYP51H6, CYP51H6, P-450 51H6
QOZ80_1BG0080080	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;flavonol synthase 1 (FLS1);gibberellin 20-oxidase 5 (GA20OX5);gibberellin 2-oxidase 8 (GA2OX8)	OsF3H-2, F3H-2, OsF3H2, FNS1, OsFNS1, OsSAH4, SAH4, OsF3H8, F3H8, OsS5H3, S5H3, OsDMR6-3, DMR6-3;OsODD19, ODD19, 2-ODD19, Os2-ODD19, Os2ODD19, OsF3H7, F3H7;sd1, sd1 (d47, sd1-d, sd1-1), d49(sd1-r), d47, C20OX2, OsGA20ox-2, OsGA20ox2, GA20ox-2, GA20OX2, GA20ox2, sd-1, SD1-ja, SD1-in, sd1-2, Sd-1, GA20, 20ox2, Os20ox2, OsPHQ1, OsPHq1, PHq1
QOZ80_1BG0080090	cytochrome P450, family 705, subfamily A, polypeptide 23 (CYP705A23);cytochrome P450, family 711, subfamily A, polypeptide 1 (CYP711A1);cytochrome P450, family 714, subfamily A, polypeptide 2 (CYP714A2);cytochrome P450, family 71, subfamily B, polypeptide 35 (CYP71B35)	CYP711A1, OsCYP711A1, Os1400/CYP711A3, Os1400, CYP711A3, OsCYP711A3, OsMAX1-1400, MAX1-1400;OsMAX1b, MAX1b, Os5100/CYP711A6, Os5100, CYP711A6, Os/CYP711A6, OsMAX1- 5100, MAX1- 5100;OsMAX1c, MAX1c, Os1500/CYP711A4, Os1500, CYP711A4, OsCYP711A4, OsMAX1-1500, MAX1-1500;OsMAX1D, Os1900/CYP711A5, Os1900, CYP711A5, OsCYP711A5, OsMAX1-1900, MAX1-1900;OsSLB1, Os900/CYP711A2, Os900, CYP711A2, OsCYP711A2, OsCO, CO, OsMAX1-900, MAX1-900
QOZ80_1BG0080100	cytochrome P450, family 711, subfamily A, polypeptide 1 (CYP711A1);cytochrome P450, family 714, subfamily A, polypeptide 2 (CYP714A2);cytochrome P450, family 71, subfamily B, polypeptide 35 (CYP71B35)	CYP711A1, OsCYP711A1, Os1400/CYP711A3, Os1400, CYP711A3, OsCYP711A3, OsMAX1-1400, MAX1-1400;OsMAX1b, MAX1b, Os5100/CYP711A6, Os5100, CYP711A6, Os/CYP711A6, OsMAX1- 5100, MAX1- 5100;OsMAX1c, MAX1c, Os1500/CYP711A4, Os1500, CYP711A4, OsCYP711A4, OsMAX1-1500, MAX1-1500;OsMAX1D, Os1900/CYP711A5, Os1900, CYP711A5, OsCYP711A5, OsMAX1-1900, MAX1-1900;OsSLB1, Os900/CYP711A2, Os900, CYP711A2, OsCYP711A2, OsCO, CO, OsMAX1-900, MAX1-900
QOZ80_1BG0080110	BSMT1;jasmonic acid carboxyl methyltransferase (JMT);NAMT1;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	JMT-2, OsJMT-2, OsJMT2;Os4OCLAMT1;OsSAMT, OsJMT1, JMT1, Os4OCLAMT2, 4OCLAMT2
QOZ80_1BG0080120	Sec14p-like phosphatidylinositol transfer family protein	OsSNDP4, OsSec14-5, Sec14-5;OsSNDP5, OsSec14-2, Sec14-2;OsSNDP6, OsSec14-16, Sec14-16
QOZ80_1BG0080130	bifunctional nuclease in basal defense response 1 (BBD1);Wound-responsive family protein	OsBBD1;OsUCIP16
QOZ80_1BG0080140	ARA12;AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);SBT5.4;Subtilase family protein	OsSub12;OsSub30;OsSub50;OsSub55;OsSub58
QOZ80_1BG0080150	ARA12;AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);SBT5.4;subtilase 1.3 (SBT1.3);Subtilase family protein	OsSub12;OsSub30;OsSub50;OsSub55;OsSub58
QOZ80_1BG0080170	Transducin/WD40 repeat-like superfamily protein	OsWD40-22
QOZ80_1BG0080180	DNAJ heat shock N-terminal domain-containing protein	OsDjC19;OsDjC51;OsDjC65;OsDjC70;OsLEA22, RAB25, OsRab16, Rab16, OsABA45, ABA45
QOZ80_1BG0080200	myb domain protein 50 (MYB50);myb domain protein 55 (MYB55);myb domain protein 61 (MYB61);myb domain protein 86 (MYB86)	OsMYB14, OsJAdMYB1, JAdMYB1, Os2R_MYB12, 2R_MYB12, MYB2-13, OsMYB2-13;OsMYB55/61, OsMYB55, MYB55, OsMYB61, MYB61, OsMYB61a, MYB61a, Os2R_MYB5, 2R_MYB5, MYB2-6, OsMYB2-6;OsMYB86;OsMYB86-L1, Os2R_MYB8, 2R_MYB8, MYB2-9, OsMYB2-9;OsMYB86-L2, MYB86-L2, OsRLM1, Os2R_MYB59, 2R_MYB59, MYB2-69, OsMYB2-69
QOZ80_1BG0080210	RING/U-box superfamily protein	OsRFPH2-5, DLN133, OsDLN133, OsRING36, RING36;OsRING151, OsC3HC4_009, C3HC4_009
QOZ80_1BG0080220	farnesyl diphosphate synthase 1 (FPS1);farnesyl diphosphate synthase 2 (FPS2)	OsFPPS1, FPPS, OsFPS;OsFPPS2, OsFPS2, FPS2;OsFPPS3, OsFPS5, FPS5;OsFPPS4, OsFPS4, FPS4;OsFPS3, FPS3
QOZ80_1BG0080230	Clathrin adaptor complexes medium subunit family protein;HAPLESS 13 (HAP13)	OsAP2M;OsSPL28, PSL50, OsPSL50, AP1M1, OsAP1M1
QOZ80_1BG0080250	high affinity nitrate transporter 2.6 (NRT2.6);nitrate transporter 2:1 (NRT2:1);nitrate transporter 2.2 (NRT2.2);nitrate transporter 2.4 (NRT2.4);nitrate transporter2.5 (NRT2.5)	NRT2.3, OsNRT2.3, OsNRT2;1, OsNRT2.3a, OsNRT2.3b, OsNRT2;3a, OsNRT2.5;OsNRT2.1, OsNRT2.2;OsNRT2.2, OsNRT2.1, NRT2.1;OsNRT2.4
QOZ80_1BG0080260	high affinity nitrate transporter 2.6 (NRT2.6);nitrate transporter 2:1 (NRT2:1);nitrate transporter 2.2 (NRT2.2);nitrate transporter 2.4 (NRT2.4);nitrate transporter2.5 (NRT2.5)	NRT2.3, OsNRT2.3, OsNRT2;1, OsNRT2.3a, OsNRT2.3b, OsNRT2;3a, OsNRT2.5;OsNRT2.1, OsNRT2.2;OsNRT2.2, OsNRT2.1, NRT2.1;OsNRT2.4
QOZ80_1BG0080280	Kelch repeat-containing F-box family protein	IBF1, OsFBX310, FBX310, OsFBX310, FBX310;Os_F0670
QOZ80_1BG0080290	ABC-2 type transporter family protein;white-brown complex homolog 19 (WBC19)	OsABCG21, STR1, OsSTR1;OsABCG26;OsABCG3;OsABCG5, ABCG5, OsLA5;OsABCG6
QOZ80_1BG0080300	chloride channel E (CLC-E);chloride channel F (CLC-F)	OsCBSCLC2, OsCLC2, CLC2;OsCBSCLC8;OsCBSCLC9, OsCBSCLC9a, OsCBSCLC9b
QOZ80_1BG0080320	germin-like protein 10 (GLP10);germin-like protein 4 (GLP4);germin-like protein 5 (GLP5);germin-like protein subfamily 2 member 2 precursor (GL22);RmlC-like cupins superfamily protein	OsGER7, OsGLP3-7, GLP3-7, OsCDP3.11, CDP3.11;OsGLP1-1, OsCDP1.1, CDP1.1;OsGLP1-3, OsGLP1-2, GLP1-2, OsCDP1.3, CDP1.3;OsGLP3-8, OsCDP3.13, CDP3.13;OsOxO3, OsGLP3-5, GLP3-5, OsCDP3.8, CDP3.8
QOZ80_1BG0080360	Late embryogenesis abundant protein (LEA) family protein	OsLEA14, OsLEA14a, OsLEA14b, wsi18, pwsi18, OsWsi18, OsLEA14/WSI18;OsLEA3-1, OsLea3-1, LEA3, OsLEA3, OsLEA19, OsLEA19a, LEA19, OsLEA19b, OsLEA3, Oslea3, oslea3, OsLEA3A, LEA3A
QOZ80_1BG0080370	plastid transcriptionally active7 (PTAC7);plastid transcriptionally active7 (PTAC7).	OsPAP12, OsPAP12/OspTAC7, OspTAC7, pTAC7
QOZ80_1BG0080390	KELP	
QOZ80_1BG0080400	KELP	
QOZ80_1BG0080410	Regulator of Vps4 activity in the MVB pathway protein	
QOZ80_1BG0080420	Ribosomal L28e protein family	
QOZ80_1BG0080440	unknown protein	
QOZ80_1BG0080450	Mannose-binding lectin superfamily protein	OsJRL04, JRL04, OsJRL4;OsJRL14
QOZ80_1BG0080500	IAA-ALANINE RESISTANT 3 (IAR3);IAA-leucine resistant (ILR)-like 1 (ILL1);IAA-leucine resistant (ILR)-like 2 (ILL2);IAA-leucine resistant (ILR)-like gene 5 (ILL5);IAA-leucine resistant (ILR)-like gene 6 (ILL6)	OsAH2;OsAH6;OsAH7;OsAH8;OsAH9
QOZ80_1BG0080520	SHOOT GRAVITROPSIM 4 (SGR4);vesicle transport V-snare 13 (VTI13);VTI1B	OsVTI11;OsVTI12
QOZ80_1BG0080530	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;HECATE 1 (HEC1);HECATE 2 (HEC2);INDEHISCENT (IND)	OsbHLH117, bHLH117;OsbHLH118;OsbHLH120, bHLH120, OsMOG1;OsLF, LF, OsbHLH119
QOZ80_1BG0080540	Homeodomain-like/winged-helix DNA-binding family protein	OsTRBF1;OsTRBF3
QOZ80_1BG0080550	myristoyl-CoA:protein N-myristoyltransferase (NMT1)	OsHAM702
QOZ80_1BG0080560	Protein of unknown function (DUF803)	OsMGT
QOZ80_1BG0080570	casein kinase 1 (CK1);casein kinase 1-like protein 2 (CKL2);casein kinase I-like 12 (ckl12);casein kinase I-like 5 (ckl5);dual specificity kinase 1 (ADK1)	
QOZ80_1BG0080580	lysine decarboxylase family protein;Putative lysine decarboxylase family protein	LOGL6, OsLOGL6, An-2;OsLOGL1;OsLOGL2;OsLOGL7
QOZ80_1BG0080590	IQ-domain 6 (IQD6);IQ-domain 7 (IQD7);IQ-domain 8 (iqd8)	
QOZ80_1BG0080600	Mitochondrial substrate carrier family protein	
QOZ80_1BG0080620	myb domain protein 26 (MYB26);myb domain protein 55 (MYB55);myb domain protein 67 (MYB67);myb domain protein 86 (MYB86)	Os2R_MYB13, MYB2-14, OsMYB2-14;Os2R_MYB70, MYB2-83, OsMYB2-83;OsMYB103, OsMYB103L, CEF1/OsMYB103L, MYB103, MYB103L, OsMYB93, MYB93, OsFC9, FC9, Os2R_MYB74, 2R_MYB74, MYB2-89, OsMYB2-89;OsMYB55/61, OsMYB55, MYB55, OsMYB61, MYB61, OsMYB61a, MYB61a, Os2R_MYB5, 2R_MYB5, MYB2-6, OsMYB2-6;R2R3-MYB, OsMYB55/61-L, MYB55/61-L, OsMYB55, OsMYB61-L, MYB55, MYB61-L, OsMYB61L, MYB61L, OsMYB61b, MYB61b, Os2R_MYB53, 2R_MYB53, OsMYB2P-1, MYB2P-1, MYB2-62, OsMYB2-62
QOZ80_1BG0080640	Survival protein SurE-like phosphatase/nucleotidase	
QOZ80_1BG0080650	Abnormal Leaf Shape 2 (ALE2);Protein kinase superfamily protein	
QOZ80_1BG0080660	FVE;MULTICOPY SUPRESSOR OF IRA1 (MSI1);nucleosome/chromatin assembly factor group C5 (NFC5)	OsWD40-173, OsMed4_1, Med4_1, OsDWD4, DWD4, OsPcG8, PcG8;OsWD40-193, RIP1;OsWD40-23, WD40-23, OsFVE, OsDWD5, DWD5, OsPcG9, PcG9;OsWD40-79, OsMSI1, WD40-79, OsDWD1, DWD1, OsPcG7, PcG7
QOZ80_1BG0080690	FLOWERING LOCUS D (FLD);polyamine oxidase 5 (PAO5)	OsHDMA701, HDMA701, OsPAO9, PAO9;OsHDMA702, HDMA702, OsPAO8, PAO8;OsHDMA703, HDMA703, OsPAO10, PAO10;OsPAO1, OsAO4, AO4
QOZ80_1BG0080700	chlorophyll A/B binding protein 1 (CAB1);chlorophyll A/B-binding protein 2 (CAB2);chlorophyll A/B binding protein 3 (CAB3);light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1);photosystem II light harvesting complex gene B1B2 (LHB1B2)	cab1R, LHCP, CAB, OsLhcb1, Lhcb1, Cab1, OsCAB1, Lhcb1b, OsLhcb1b, CAB2R;Lhcb1.1 OsLhcb1.1, lhcB;LHCB, LHCP II, Lhcb2, OsLhcb2, Lhcb2.1, OsLhcb2.1;Oscab2R, CAB-2, OsLhcp, Lhcb1, Lhcb1a, OsLhcb1, OsLhcb1a
QOZ80_1BG0080710	alpha/beta-Hydrolases superfamily protein	OsPLA1-Iidelta, PLA1-IIdelta;OsSTA25, OsPLA1-Iigamma, PLA1-IIgamma
QOZ80_1BG0080720	Insulinase (Peptidase family M16) protein;mitochondrial processing peptidase alpha subunit (MPPalpha);MPPBETA	
QOZ80_1BG0080730	Leucine-rich repeat protein kinase family protein;leucine-rich repeat transmembrane protein kinase family protein	OsPRK;OsRLCK71
QOZ80_1BG0080740	glycine decarboxylase P-protein 1 (GLDP1);glycine decarboxylase P-protein 2 (GLDP2)	OsGDCP
QOZ80_1BG0080750	calcineurin B-like 3 (CBL3);calcineurin B-like protein 10 (CBL10);calcineurin B-like protein 2 (CBL2)	OsCBL10;OsCBL3;OsCBL6;OsCBL9
QOZ80_1BG0080760	REVERSION-TO-ETHYLENE SENSITIVITY1 (RTE1);RTE1-homolog (RTH)	OsRTH1, RTH1;OsRTH2, RTH2
QOZ80_1BG0080770	nucleosome assembly protein 1;nucleosome assembly protein1	Orysa;NAP1;1, OsNAP1_L1;Orysa;NAP1;2, OsNAP1_L2;Orysa;NAP1;3, OsNAP1_L3
QOZ80_1BG0080890	cytidine deaminase 1 (CDA1);Cytidine/deoxycytidylate deaminase family protein	
QOZ80_1BG0080920	homology to ABI1 (HAB1);homology to ABI2 (HAB2)	OsPP2C06/OsABI2, OsPP2C06, OsPP2C6, OsABI2, OsPP10, ABI2, OsABIL1, ABIL1;OsPP2C50, OsPP78, OsABIL3, ABIL3;OsPP2C53, OsPP81, OsABIL2, ABIL2
QOZ80_1BG0080930	RNA-binding KH domain-containing protein	
QOZ80_1BG0080940	myosin 1 (MYA1);XIE;XIK	OsMyoXIE, OsMyoXIE-1, OsMyoXIE-2, OsMyoXIE-3;OsSTA158, STA158
QOZ80_1BG0080950	unknown protein	
QOZ80_1BG0080960	unknown protein	
QOZ80_1BG0080990	RAB GTPase homolog 7A (RAB7A);RAB GTPase homolog G3A (RABG3A);RAB GTPase homolog  G3B (RABG3B)	OsRab7A1;OsRab7A2;OsRab7B3, Rab7B3, OsRab7, Rab7
QOZ80_1BG0081000	zinc knuckle (CCHC-type) family protein	
QOZ80_1BG0081010	alpha-amylase-like 2 (AMY2);alpha-amylase-like 3 (AMY3);alpha-amylase-like (AMY1)	OsAmy5A, Amy5A;OsSTA30, Amy4A, OsAMY4A
QOZ80_1BG0081020	voltage dependent anion channel 1 (VDAC1);voltage dependent anion channel 2 (VDAC2);voltage dependent anion channel 3 (VDAC3)	OSVDAC1, osvdac1, OsVDAC1;OSVDAC2, osvdac2, OsVDAC2, VDAC2;OSVDAC3, osvdac3, OsVDAC3, VDAC3;OSVDAC4, osvdac4, OsVDAC4, VDAC4
QOZ80_1BG0081030	ETHYLENE INSENSITIVE ROOT 1 (EIR1);PIN-FORMED 5 (PIN5);PIN-FORMED 8 (PIN8)	OsPIN5a, OsPIN6;OsPIN8;OsPIN9;PIN5B, OsPIN5b, OsPIN5c;PIN5C, OsPIN5c, OsPIN5b, PIN4
QOZ80_1BG0081040	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsDYW5
QOZ80_1BG0081050	unknown protein	
QOZ80_1BG0081060	ORGANELLE TRANSCRIPT PROCESSING 82 (OTP82);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_1BG0081070	IQ-domain 29 (IQD29);IQ-domain 31 (IQD31)	
QOZ80_1BG0081080	unknown protein	
QOZ80_1BG0081110	violaxanthin de-epoxidase-related	
QOZ80_1BG0081120	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
QOZ80_1BG0081130	DNAse I-like superfamily protein;inositol polyphosphate 5-phosphatase I (IP5PI);MYO-INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 1 (AT5PTASE1)	
QOZ80_1BG0081140	choline kinase 1 (CK1);Protein kinase superfamily protein	
QOZ80_1BG0081150	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;tryptophan aminotransferase related 2 (TAR2)	fib, OsFIB, OsTAR2, TAR2, TSG1, OsTSG1, OsTAA1, TAA1;OsTAA1, TAA1, OsTAA1;4, TAA1;4, OsTARL1, OsTAA1;3, TAA1;3;OsTAR1, FBL;OsTARL2
QOZ80_1BG0081160	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;tryptophan aminotransferase related 1 (TAR1)	fib, OsFIB, OsTAR2, TAR2, TSG1, OsTSG1, OsTAA1, TAA1;OsTAA1, TAA1, OsTAA1;4, TAA1;4, OsTARL1, OsTAA1;3, TAA1;3;OsTAR1, FBL;OsTARL2
QOZ80_1BG0081170	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;tryptophan aminotransferase of Arabidopsis 1 (TAA1)	fib, OsFIB, OsTAR2, TAR2, TSG1, OsTSG1, OsTAA1, TAA1;OsTAA1, TAA1, OsTAA1;4, TAA1;4, OsTARL1, OsTAA1;3, TAA1;3;OsTAR1, FBL;OsTARL2
QOZ80_1BG0081180	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;tryptophan aminotransferase related 2 (TAR2)	fib, OsFIB, OsTAR2, TAR2, TSG1, OsTSG1, OsTAA1, TAA1;OsTAA1, TAA1, OsTAA1;4, TAA1;4, OsTARL1, OsTAA1;3, TAA1;3;OsTAR1, FBL;OsTARL2
QOZ80_1BG0081190	A20/AN1-like zinc finger family protein	OsSAP2;OsSAP6;OsSAP9, SAP9, ZFP33
QOZ80_1BG0081200	BRASSINOSTEROID INSENSITIVE 1 (BRI1);BRI1-like 2 (BRL2);BRI1-like 3 (BRL3);BRI1 like (BRL1)	d61*, dwf42, d61, OsBRI1, OSBRI1, BRI1, Os BRI1, Osbri1, OsBRKq1, BRKq1, HFR131, OsHFR131;OsBRI1;OsBRL1;OsBRL3;OsPSKR2, OsPSKR11, PSKR11
QOZ80_1BG0081230	ARABIDOPSIS THALIANA K+ RECTIFYING CHANNEL 1 (ATKC1);K+ transporter 1 (KT1);potassium channel in Arabidopsis thaliana 1 (KAT1);potassium channel in Arabidopsis thaliana 3 (KAT3)	OsAKT1, Os-AKT1;OsKAT1, OsKAT3;OsKAT3, OsKAT1, KAT1;OsKAT4;OsNKT5, OsKAT3, KAT3
QOZ80_1BG0081260	CHY-type/CTCHY-type/RING-type Zinc finger protein	OsRZFP34, OsRFP1, RZFP34, UCIP18, OsUCIP18, OsRING160, RING160
QOZ80_1BG0081280	sulfate transporter 3;sulfate transporter 91 (AST91)	OsSultr3;2, OsSul3;2;OsSultr3;3, OsSul3;3, SULTR3;3;OsSultr3;4, OsSul3;4, OsaSULTR3;4, SPDT, OsSPDT;OsSultr3;5, OsSul3;5;OsSultr3;6, OsSul3;6, OsSULTR3;6
QOZ80_1BG0081320	HIGH-CHLOROPHYLL-FLUORESCENCE 101 (HCF101);IND1(iron-sulfur protein required for NADH dehydrogenase)-like (INDL);nucleotide binding protein 35 (NBP35)	OsISC36;OsISC43;OsISC44
QOZ80_1BG0081330	alpha/beta-Hydrolases superfamily protein;Lipase class 3-related protein	
QOZ80_1BG0081350	unknown protein	OsRFP, OsRING374, RING374
QOZ80_1BG0081360	Mitochondrial ATP synthase subunit G protein	
QOZ80_1BG0081370	NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial;photosystem II reaction center protein G (PSBG)	
QOZ80_1BG0081380	phosphate starvation-induced gene 2 (PS2);Pyridoxal phosphate phosphatase-related protein	OsACP1
QOZ80_1BG0081400	chlorophyll A/B binding protein 1 (CAB1);chlorophyll A/B-binding protein 2 (CAB2);chlorophyll A/B binding protein 3 (CAB3);light-harvesting chlorophyll-protein complex II subunit B1 (LHB1B1);photosystem II light harvesting complex gene B1B2 (LHB1B2)	cab1R, LHCP, CAB, OsLhcb1, Lhcb1, Cab1, OsCAB1, Lhcb1b, OsLhcb1b, CAB2R;Lhcb1.1 OsLhcb1.1, lhcB;LHCB, LHCP II, Lhcb2, OsLhcb2, Lhcb2.1, OsLhcb2.1;Oscab2R, CAB-2, OsLhcp, Lhcb1, Lhcb1a, OsLhcb1, OsLhcb1a
QOZ80_1BG0081410	NAD(P)-binding Rossmann-fold superfamily protein	OsSDR, SDR
QOZ80_1BG0081420	ATSERAT3;serine acetyltransferase 1;serine acetyltransferase 2;serine acetyltransferase 3	OsSAT1;2;OsSAT2;2;OsSAT, SAT, OsSAT1;1;OsSAT, SAT, OsSAT1;3;OsSAT, SAT, OsSAT3, SAT2, OsSAT2
QOZ80_1BG0081470	Hyaluronan / mRNA binding family	
QOZ80_1BG0081480	bacterial transferase hexapeptide repeat-containing protein	
QOZ80_1BG0081490	myb domain protein 36 (MYB36);myb domain protein 84 (MYB84);myb domain protein 87 (MYB87);REGULATOR OF AXILLARY MERISTEMS 2 (RAX2)	Os2R_MYB14, MYB2-15, OsMYB2-15;OsMYB36a, Os2R_MYB75, 2R_MYB75, MYB2-90, OsMYB2-90;OsMYB36c, Os2R_MYB42, 2R_MYB42, MYB2-47, OsMYB2-47;OsMYB55, OsMYB-2, MYB55, MYB-2, OsPL, Os2R_MYB60, 2R_MYB60, MYB2-70, OsMYB2-70;OsRGN1, Os2R_MYB10, 2R_MYB10, MYB2-11, OsMYB2-11
QOZ80_1BG0081520	Leucine-rich repeat transmembrane protein kinase protein	OsMRLK34;OsMRLK37;OsMRLK38;OsMRLK49;OsMRLK8
QOZ80_1BG0081640	MAP kinase/ ERK kinase 1 (MEK1);MAP kinase kinase 2 (MKK2);MAP kinase kinase 6 (MKK6)	OsMKK6, OsMEK1, MEK1, OsMAPKK6, MAPKK6, OsMPKK6, MPKK6, OsMAP1, MAP1
QOZ80_1BG0081710	phosphate starvation-induced gene 2 (PS2);Pyridoxal phosphate phosphatase-related protein	OsACP1
QOZ80_1BG0081720	NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial;photosystem II reaction center protein G (PSBG)	
QOZ80_1BG0081730	Eukaryotic aspartyl protease family protein	OsAP4
QOZ80_1BG0081740	alpha/beta-Hydrolases superfamily protein;Lipase class 3-related protein	OsCesA11, OsCESA11, OsCLD1, CLD1
QOZ80_1BG0081790	Senescence/dehydration-associated protein-related	SAP
QOZ80_1BG0081800	Ribosomal protein S24e family protein	OsRPS24
QOZ80_1BG0081820	NADP-malic enzyme 1 (NADP-ME1);NADP-malic enzyme 2 (NADP-ME2);NADP-malic enzyme 3 (NADP-ME3);NADP-malic enzyme 4 (NADP-ME4)	NADP-ME, ME6, OschlME, chlME, XcrMal1;OscytME1, OsNADP-ME2-3, NADP-ME2-3;OscytME2, cytME2
QOZ80_1BG0081840	phosphoribosyl pyrophosphate (PRPP) synthase 3 (PRS3);Phosphoribosyltransferase family protein	
QOZ80_1BG0081850	phosphoribosyl pyrophosphate (PRPP) synthase 3 (PRS3);Phosphoribosyltransferase family protein	
QOZ80_1BG0081860	ABC transporter family protein;P-glycoprotein 17 (PGP17);P-glycoprotein 18 (PGP18)	OsABCB14, ABCB14, OsPGP14, OsMDR13, OsABCB14_1, OsABCB14_2;OsABCB15, ABCB15, OsPGP15, OsMDR1, OsMDR2, MDR2, OsSTA125;OsABCB6, ABCB6, OsPGP6, OsMDR8, OsISC31;OsABCB7, ABCB7, OsPGP7, OsMDR17;OsABCB9, OsPGP9, OsISC33
QOZ80_1BG0081870	PENETRATION 3 (PEN3);pleiotropic drug resistance 11 (PDR11);pleiotropic drug resistance 1 (PDR1);pleiotropic drug resistance 7 (PDR7)	OsABCG38, OsPDR15;OsABCG42, ABCG42, OsPDR12, OsABCG42_1, OsABCG42_2;OsPDR8, PDR4, P0410E03.16, OsABCG37, OsPDR4;OsPDR9, ospdr9, OsPDR3, PDR3, OsABCG36/OsPDR9, OsABCG36
QOZ80_1BG0081880	Polyketide cyclase/dehydrase and lipid transport superfamily protein	
QOZ80_1BG0081890	CHLORORESPIRATORY REDUCTION28 (CRR28);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
QOZ80_1BG0081900	Uncharacterised protein family (UPF0497)	OsCASP_like5
QOZ80_1BG0081910	Regulator of chromosome condensation (RCC1) family protein;UVB-RESISTANCE 8 (UVR8)	OsUVR8a, UVR8a, OsRCC1-1, RCC1-1, OsGEF10, GEF10;OsUVR8b, UVR8b, OsRCC1-2, RCC1-2, OsGEF9, GEF9
QOZ80_1BG0081920	SPA1-related 3 (SPA3);SPA1-related 4 (SPA4)	OsWD40-123, OsSPA1, OsDWD76, DWD76;OsWD40-24, OsSPA3/4, OsDWD75, DWD75;OsWD40-34, OsRUP, OsDWD72, DWD72;OsWD40-55, OsCOP1, COP1, YEL, OsYEL, OsPPS, COP1-1, OsCOP1-1, OsRING347, RING347
QOZ80_1BG0081980	AGAMOUS-like 16 (AGL16);CAULIFLOWER (CAL);SEEDSTICK (STK)	OsMADS26, FDRMADS3, RMADS220;OsMADS29, MADS29, OsFST;OsMADS32, MADS32, OsCFO1, CFO1/OsMADS32, TRI1, OsTRI1, OsMADS32/CFO, CFO, OsCFO;OsMADS56, FDRMADS8, RMADS214
QOZ80_1BG0081990	protodermal factor 1 (PDF1)	OsRA68
QOZ80_1BG0082000	galacturonosyltransferase 12 (GAUT12);galacturonosyltransferase 13 (GAUT13);galacturonosyltransferase 15 (GAUT15)	OsGAUT20, GAUT20, OsIRX8L;OsGAUT21;OsGAUT22;OsGAUT3;OsGAUT4, OsGAUT6, GAUT6
QOZ80_1BG0082010	NADH:ubiquinone oxidoreductase intermediate-associated protein 30	
